estate,debts,husband,wife,father,mother,sons,daughters,sisters_m,grandfather,grandmother,grandsons,granddaughters,share_husband,share_wife,share_mother,share_sons,share_fathers,share_grandsons,share_brother_ms,row_sum_shares
138477,17171,0,1,0,1,1,3,3,0,1,1,1,30326.5,15163.25,20217.666666666664,27799.291666666664,27799.291666666664,2940.0138888888887,3428.0277777777774,127674.04166666664
138156,32737,1,0,0,1,1,2,2,0,1,0,2,26354.75,13177.375,17569.833333333332,24158.52083333333,24158.52083333333,2940.0138888888887,3428.0277777777774,111787.04166666666
182065,43063,0,1,0,1,1,2,2,1,0,1,0,34750.5,17375.25,23167.0,31854.625,31854.625,2940.0138888888887,3428.0277777777774,145370.04166666666
180950,50311,0,0,0,1,1,3,2,1,1,1,0,32659.75,16329.875,21773.166666666664,29938.104166666664,29938.104166666664,2940.0138888888887,3428.0277777777774,137007.04166666663
69674,17612,0,1,0,0,1,3,0,1,1,0,1,13015.5,6507.75,8677.0,11930.875,11930.875,2940.0138888888887,3428.0277777777774,58430.04166666667
165999,25432,0,1,0,0,1,4,3,0,1,2,2,35141.75,17570.875,23427.83333333333,32213.27083333333,32213.27083333333,2940.0138888888887,3428.0277777777774,146935.04166666666
50003,5182,0,0,0,0,1,1,2,0,1,2,0,11205.25,5602.625,7470.166666666666,10271.479166666666,10271.479166666666,2940.0138888888887,3428.0277777777774,51189.04166666666
116543,33762,0,1,0,0,1,4,2,0,1,0,2,20695.25,10347.625,13796.833333333332,18970.64583333333,18970.64583333333,2940.0138888888887,3428.0277777777774,89149.04166666666
83142,10663,0,0,0,1,1,3,2,0,1,0,1,18119.75,9059.875,12079.833333333332,16609.770833333332,16609.770833333332,2940.0138888888887,3428.0277777777774,78847.04166666666
99255,6912,1,0,0,1,1,3,0,1,1,2,0,23085.75,11542.875,15390.5,21161.9375,21161.9375,2940.0138888888887,3428.0277777777774,98711.04166666667
60192,8120,0,1,0,1,1,2,3,1,0,2,1,13018.0,6509.0,8678.666666666666,11933.166666666666,11933.166666666666,2940.0138888888887,3428.0277777777774,58440.04166666666
160203,30003,0,1,0,0,1,1,1,1,1,2,2,32550.0,16275.0,21700.0,29837.5,29837.5,2940.0138888888887,3428.0277777777774,136568.04166666666
196026,28648,0,0,0,1,1,1,0,1,1,0,1,41844.5,20922.25,27896.33333333333,38357.45833333333,38357.45833333333,2940.0138888888887,3428.0277777777774,173746.04166666666
199327,12641,0,1,0,1,1,2,2,0,0,1,0,46671.5,23335.75,31114.33333333333,42782.20833333333,42782.20833333333,2940.0138888888887,3428.0277777777774,193054.04166666666
140197,10237,1,0,0,1,1,0,1,0,1,0,0,32490.0,16245.0,21660.0,29782.5,29782.5,2940.0138888888887,3428.0277777777774,136328.04166666666
84854,19852,0,1,0,0,1,1,0,1,1,1,2,16250.5,8125.25,10833.666666666666,14896.291666666666,14896.291666666666,2940.0138888888887,3428.0277777777774,71370.04166666666
129156,36416,0,0,0,1,1,3,1,0,0,2,1,23185.0,11592.5,15456.666666666666,21252.916666666664,21252.916666666664,2940.0138888888887,3428.0277777777774,99108.04166666667
157808,20017,1,0,0,1,1,2,0,1,1,1,1,34447.75,17223.875,22965.166666666664,31577.104166666664,31577.104166666664,2940.0138888888887,3428.0277777777774,144159.04166666663
76550,21481,0,1,0,1,1,1,2,1,0,0,0,13767.25,6883.625,9178.166666666666,12619.979166666666,12619.979166666666,2940.0138888888887,3428.0277777777774,61437.04166666666
78233,19123,0,0,0,0,0,0,1,0,1,1,1,29555.0,14777.5,9851.666666666666,23366.749999999996,1641.9444444444443,1641.9444444444443,1641.9444444444443,82476.74999999997
149030,39376,0,0,0,1,1,0,3,0,1,2,0,27413.5,13706.75,18275.666666666664,25129.041666666664,25129.041666666664,2940.0138888888887,3428.0277777777774,116022.04166666667
194055,16344,0,0,0,1,1,2,0,1,0,0,1,44427.75,22213.875,29618.5,40725.4375,40725.4375,2940.0138888888887,3428.0277777777774,184079.04166666666
189366,9604,1,0,0,1,1,0,1,0,0,1,1,44940.5,22470.25,29960.33333333333,41195.45833333333,41195.45833333333,2940.0138888888887,3428.0277777777774,186130.04166666666
81638,15220,0,1,0,0,1,3,0,1,1,2,1,16604.5,8302.25,11069.666666666666,15220.791666666666,15220.791666666666,2940.0138888888887,3428.0277777777774,72786.04166666667
172666,32736,0,0,0,0,1,2,0,0,1,0,2,34982.5,17491.25,23321.666666666664,32067.291666666664,32067.291666666664,2940.0138888888887,3428.0277777777774,146298.04166666663
137406,11794,0,1,0,0,1,0,2,0,0,2,2,31403.0,15701.5,20935.33333333333,28786.08333333333,28786.08333333333,2940.0138888888887,3428.0277777777774,131980.04166666666
155047,14996,0,1,0,1,1,2,3,1,0,1,2,35012.75,17506.375,23341.83333333333,32095.02083333333,32095.02083333333,2940.0138888888887,3428.0277777777774,146419.04166666666
57935,4618,0,0,0,0,1,0,0,0,0,2,2,13329.25,6664.625,8886.166666666666,12218.479166666666,12218.479166666666,2940.0138888888887,3428.0277777777774,59685.04166666666
120274,13006,0,1,0,1,1,3,3,1,1,1,1,26817.0,13408.5,17878.0,24582.25,24582.25,2940.0138888888887,3428.0277777777774,113636.04166666667
136766,22372,0,1,0,0,1,4,2,1,1,2,2,28598.5,14299.25,19065.666666666664,26215.291666666664,26215.291666666664,2940.0138888888887,3428.0277777777774,120762.04166666667
114103,24908,1,0,0,0,1,1,0,1,1,2,2,22298.75,11149.375,14865.833333333332,20440.52083333333,20440.52083333333,2940.0138888888887,3428.0277777777774,95563.04166666666
101967,24921,0,0,0,0,1,1,1,0,0,2,0,19261.5,9630.75,12841.0,17656.375,17656.375,2940.0138888888887,3428.0277777777774,83414.04166666667
142764,8826,0,1,0,0,1,2,1,0,0,0,0,33484.5,16742.25,22323.0,30694.125,30694.125,2940.0138888888887,3428.0277777777774,140306.04166666666
181132,53483,1,0,0,0,1,1,3,1,1,2,2,31912.25,15956.125,21274.83333333333,29252.89583333333,29252.89583333333,2940.0138888888887,3428.0277777777774,134017.04166666666
114726,30128,0,1,0,0,1,1,1,1,1,1,1,21149.5,10574.75,14099.666666666666,19387.041666666664,19387.041666666664,2940.0138888888887,3428.0277777777774,90966.04166666667
127443,13172,1,0,1,1,1,2,0,0,0,2,2,28567.75,14283.875,19045.166666666664,26187.104166666664,26187.104166666664,2940.0138888888887,3428.0277777777774,120639.04166666667
144429,34751,0,1,0,1,1,3,3,1,0,1,0,27419.5,13709.75,18279.666666666664,25134.541666666664,25134.541666666664,2940.0138888888887,3428.0277777777774,116046.04166666667
145409,31746,0,1,0,1,1,0,0,0,1,2,1,28415.75,14207.875,18943.83333333333,26047.77083333333,26047.77083333333,2940.0138888888887,3428.0277777777774,120031.04166666666
194180,24087,0,0,0,0,1,3,1,0,0,0,1,42523.25,21261.625,28348.83333333333,38979.64583333333,38979.64583333333,2940.0138888888887,3428.0277777777774,176461.04166666666
90820,10017,1,0,0,0,1,0,0,0,1,1,1,20200.75,10100.375,13467.166666666666,18517.354166666664,18517.354166666664,2940.0138888888887,3428.0277777777774,87171.04166666667
103559,17097,1,0,0,0,1,4,2,0,1,1,2,21615.5,10807.75,14410.333333333332,19814.20833333333,19814.20833333333,2940.0138888888887,3428.0277777777774,92830.04166666666
163395,44583,0,1,0,1,1,0,0,1,1,2,1,29703.0,14851.5,19802.0,27227.75,27227.75,2940.0138888888887,3428.0277777777774,125180.04166666667
91650,20006,1,0,0,1,1,2,0,1,0,2,0,17911.0,8955.5,11940.666666666666,16418.416666666664,16418.416666666664,2940.0138888888887,3428.0277777777774,78012.04166666667
153883,12286,0,1,0,1,1,0,0,0,0,1,1,35399.25,17699.625,23599.5,32449.3125,32449.3125,2940.0138888888887,3428.0277777777774,147965.04166666666
95442,12691,0,1,1,1,1,4,0,0,1,2,1,20687.75,10343.875,13791.833333333332,18963.77083333333,18963.77083333333,2940.0138888888887,3428.0277777777774,89119.04166666666
99870,12840,0,1,0,1,1,2,2,1,1,0,1,21757.5,10878.75,14505.0,19944.375,19944.375,2940.0138888888887,3428.0277777777774,93398.04166666667
156289,12534,0,1,0,0,1,0,3,0,0,0,1,35938.75,17969.375,23959.166666666664,32943.854166666664,32943.854166666664,2940.0138888888887,3428.0277777777774,150123.04166666663
69889,16927,1,0,0,0,1,2,1,0,0,1,1,13240.5,6620.25,8827.0,12137.125,12137.125,2940.0138888888887,3428.0277777777774,59330.04166666667
50147,3971,0,0,0,0,1,2,2,1,0,0,1,11544.0,5772.0,7696.0,10582.0,10582.0,2940.0138888888887,3428.0277777777774,52544.04166666667
148643,25089,0,0,0,1,1,3,3,1,0,0,2,30888.5,15444.25,20592.33333333333,28314.45833333333,28314.45833333333,2940.0138888888887,3428.0277777777774,129922.04166666666
55133,14653,0,1,0,0,1,0,2,0,1,0,0,10120.0,5060.0,6746.666666666666,9276.666666666666,9276.666666666666,2940.0138888888887,3428.0277777777774,46848.04166666666
122209,26259,0,1,0,0,1,0,0,1,0,2,2,23987.5,11993.75,15991.666666666666,21988.541666666664,21988.541666666664,2940.0138888888887,3428.0277777777774,102318.04166666667
82594,5246,0,0,0,1,1,0,1,1,1,2,0,19337.0,9668.5,12891.333333333332,17725.583333333332,17725.583333333332,2940.0138888888887,3428.0277777777774,83716.04166666666
111499,28821,0,0,0,1,1,1,0,0,1,1,1,20669.5,10334.75,13779.666666666666,18947.041666666664,18947.041666666664,2940.0138888888887,3428.0277777777774,89046.04166666667
144872,40696,0,1,0,1,1,0,1,1,0,0,1,26044.0,13022.0,17362.666666666664,23873.666666666664,23873.666666666664,2940.0138888888887,3428.0277777777774,110544.04166666667
81981,17468,1,0,0,0,1,4,1,1,1,1,2,16128.25,8064.125,10752.166666666666,14784.229166666666,14784.229166666666,2940.0138888888887,3428.0277777777774,70881.04166666666
145360,27209,1,0,0,0,1,2,0,0,1,0,0,29537.75,14768.875,19691.83333333333,27076.27083333333,27076.27083333333,2940.0138888888887,3428.0277777777774,124519.04166666666
53201,9302,1,0,0,1,1,0,2,1,0,1,2,10974.75,5487.375,7316.5,10060.1875,10060.1875,2940.0138888888887,3428.0277777777774,50267.04166666667
90312,5522,0,1,0,1,1,2,1,1,0,2,0,21197.5,10598.75,14131.666666666666,19431.041666666664,19431.041666666664,2940.0138888888887,3428.0277777777774,91158.04166666667
86272,4474,1,0,0,0,1,1,0,1,0,0,0,20449.5,10224.75,13633.0,18745.375,18745.375,2940.0138888888887,3428.0277777777774,88166.04166666667
55505,3309,0,1,0,1,1,2,1,0,0,2,2,13049.0,6524.5,8699.333333333332,11961.583333333332,11961.583333333332,2940.0138888888887,3428.0277777777774,58564.04166666667
122847,26357,0,1,0,1,1,1,1,1,1,1,1,24122.5,12061.25,16081.666666666666,22112.291666666664,22112.291666666664,2940.0138888888887,3428.0277777777774,102858.04166666667
190839,33018,1,0,0,1,1,0,3,1,0,2,2,39455.25,19727.625,26303.5,36167.3125,36167.3125,2940.0138888888887,3428.0277777777774,164189.04166666666
72122,10373,1,0,1,1,1,4,0,0,0,1,2,15437.25,7718.625,10291.5,14150.8125,14150.8125,2940.0138888888887,3428.0277777777774,68117.04166666667
60802,7006,0,0,0,0,1,3,3,1,0,2,1,13449.0,6724.5,8966.0,12328.25,12328.25,2940.0138888888887,3428.0277777777774,60164.04166666667
162873,8553,1,0,0,0,1,3,3,1,0,0,2,38580.0,19290.0,25720.0,35365.0,35365.0,2940.0138888888887,3428.0277777777774,160688.04166666666
104334,22480,1,0,0,0,1,4,2,1,1,2,2,20463.5,10231.75,13642.333333333332,18758.20833333333,18758.20833333333,2940.0138888888887,3428.0277777777774,88222.04166666666
69114,6486,0,1,0,0,1,3,0,1,0,0,0,15657.0,7828.5,10438.0,14352.25,14352.25,2940.0138888888887,3428.0277777777774,68996.04166666667
196395,37038,0,0,0,0,0,0,2,1,1,0,1,79678.5,39839.25,26559.5,23366.749999999996,6639.875,2940.0138888888887,6639.875,185663.76388888888
88074,20279,1,0,0,0,1,2,2,1,0,0,1,16948.75,8474.375,11299.166666666666,15536.354166666666,15536.354166666666,2940.0138888888887,3428.0277777777774,74163.04166666667
139064,35757,1,0,0,0,1,2,2,1,0,1,1,25826.75,12913.375,17217.833333333332,23674.52083333333,23674.52083333333,2940.0138888888887,3428.0277777777774,109675.04166666666
188694,26821,0,0,0,1,1,4,1,0,0,2,2,40468.25,20234.125,26978.83333333333,37095.89583333333,37095.89583333333,2940.0138888888887,3428.0277777777774,168241.04166666666
136319,37026,1,0,0,1,1,4,2,0,0,2,0,24823.25,12411.625,16548.833333333332,22754.64583333333,22754.64583333333,2940.0138888888887,3428.0277777777774,105661.04166666666
107488,18450,0,1,0,1,1,0,2,1,1,2,0,22259.5,11129.75,14839.666666666666,20404.541666666664,20404.541666666664,2940.0138888888887,3428.0277777777774,95406.04166666667
102814,7699,1,0,0,1,1,0,1,0,0,2,1,23778.75,11889.375,15852.5,21797.1875,21797.1875,2940.0138888888887,3428.0277777777774,101483.04166666667
183543,12473,1,0,0,1,1,3,3,1,1,2,0,42767.5,21383.75,28511.666666666664,39203.54166666666,39203.54166666666,2940.0138888888887,3428.0277777777774,177438.04166666663
127040,14183,0,1,0,1,1,1,2,1,1,0,2,28214.25,14107.125,18809.5,25863.0625,25863.0625,2940.0138888888887,3428.0277777777774,119225.04166666667
55061,15422,1,0,0,1,1,0,1,0,1,1,2,9909.75,4954.875,6606.5,9083.9375,9083.9375,2940.0138888888887,3428.0277777777774,46007.04166666667
199504,21977,0,0,0,1,1,3,2,0,1,2,0,44381.75,22190.875,29587.83333333333,40683.27083333333,40683.27083333333,2940.0138888888887,3428.0277777777774,183895.04166666666
196120,11958,0,0,0,0,1,3,1,1,1,2,1,46040.5,23020.25,30693.666666666664,42203.79166666666,42203.79166666666,2940.0138888888887,3428.0277777777774,190530.04166666663
148764,11284,1,0,0,1,1,2,1,0,0,0,2,34370.0,17185.0,22913.33333333333,31505.83333333333,31505.83333333333,2940.0138888888887,3428.0277777777774,143848.04166666666
65246,15131,0,1,0,1,1,2,1,0,0,1,2,12528.75,6264.375,8352.5,11484.6875,11484.6875,2940.0138888888887,3428.0277777777774,56483.04166666667
159492,36731,0,1,0,1,1,3,0,1,0,0,1,30690.25,15345.125,20460.166666666664,28132.729166666664,28132.729166666664,2940.0138888888887,3428.0277777777774,129129.04166666664
100501,30127,1,0,0,0,1,0,2,0,0,1,1,17593.5,8796.75,11729.0,16127.375,16127.375,2940.0138888888887,3428.0277777777774,76742.04166666667
115262,26725,1,0,0,1,1,1,1,0,0,0,2,22134.25,11067.125,14756.166666666666,20289.729166666664,20289.729166666664,2940.0138888888887,3428.0277777777774,94905.04166666667
198383,52095,1,0,0,0,1,4,1,1,0,0,1,36572.0,18286.0,24381.33333333333,33524.33333333333,33524.33333333333,2940.0138888888887,3428.0277777777774,152656.04166666666
94569,20657,1,0,0,0,1,2,3,0,1,1,0,18478.0,9239.0,12318.666666666666,16938.166666666664,16938.166666666664,2940.0138888888887,3428.0277777777774,80280.04166666667
162662,18367,0,1,0,0,1,2,1,0,0,1,1,36073.75,18036.875,24049.166666666664,33067.604166666664,33067.604166666664,2940.0138888888887,3428.0277777777774,150663.04166666663
125404,16309,0,0,0,0,1,3,2,1,1,1,2,27273.75,13636.875,18182.5,25000.9375,25000.9375,2940.0138888888887,3428.0277777777774,115463.04166666667
150835,34472,0,1,0,0,1,4,3,1,0,1,1,29090.75,14545.375,19393.83333333333,26666.52083333333,26666.52083333333,2940.0138888888887,3428.0277777777774,122731.04166666666
127380,28745,0,0,0,0,1,2,1,0,1,1,1,24658.75,12329.375,16439.166666666664,22603.854166666664,22603.854166666664,2940.0138888888887,3428.0277777777774,105003.04166666667
188247,35750,0,0,0,0,1,0,2,0,1,0,0,38124.25,19062.125,25416.166666666664,34947.229166666664,34947.229166666664,2940.0138888888887,3428.0277777777774,158865.04166666663
154109,17654,0,1,0,1,1,3,1,0,0,2,2,34113.75,17056.875,22742.5,31270.9375,31270.9375,2940.0138888888887,3428.0277777777774,142823.04166666666
97923,15128,1,0,0,1,1,4,3,1,1,2,2,20698.75,10349.375,13799.166666666666,18973.854166666664,18973.854166666664,2940.0138888888887,3428.0277777777774,89163.04166666667
148508,18232,0,1,0,1,1,3,0,1,1,2,2,32569.0,16284.5,21712.666666666664,29854.916666666664,29854.916666666664,2940.0138888888887,3428.0277777777774,136644.04166666663
191640,38072,0,0,0,0,1,0,1,1,0,1,0,38392.0,19196.0,25594.666666666664,35192.666666666664,35192.666666666664,2940.0138888888887,3428.0277777777774,159936.04166666663
193402,48848,1,0,0,1,1,2,1,0,1,1,1,36138.5,18069.25,24092.33333333333,33126.95833333333,33126.95833333333,2940.0138888888887,3428.0277777777774,150922.04166666666
164430,30886,0,1,0,1,1,0,3,0,1,2,0,33386.0,16693.0,22257.33333333333,30603.83333333333,30603.83333333333,2940.0138888888887,3428.0277777777774,139912.04166666666
143057,18832,0,1,0,1,1,0,0,0,1,0,0,31056.25,15528.125,20704.166666666664,28468.229166666664,28468.229166666664,2940.0138888888887,3428.0277777777774,130593.04166666664
149942,11441,0,0,1,1,1,4,0,0,0,2,0,34625.25,17312.625,23083.5,31739.8125,31739.8125,2940.0138888888887,3428.0277777777774,144869.04166666666
108646,20152,0,1,0,0,1,3,3,0,1,2,0,22123.5,11061.75,14749.0,20279.875,20279.875,2940.0138888888887,3428.0277777777774,94862.04166666667
60095,17900,1,0,0,0,1,3,1,1,1,1,0,10548.75,5274.375,7032.5,9669.6875,9669.6875,2940.0138888888887,3428.0277777777774,48563.04166666667
79752,19460,1,0,0,0,1,2,2,0,0,1,1,15073.0,7536.5,10048.666666666666,13816.916666666666,13816.916666666666,2940.0138888888887,3428.0277777777774,66660.04166666666
144083,27823,0,1,0,1,1,0,1,1,1,0,2,29065.0,14532.5,19376.666666666664,26642.916666666664,26642.916666666664,2940.0138888888887,3428.0277777777774,122628.04166666667
91024,14497,0,1,0,0,1,1,1,0,0,1,0,19131.75,9565.875,12754.5,17537.4375,17537.4375,2940.0138888888887,3428.0277777777774,82895.04166666667
136082,13716,0,1,0,0,1,3,3,1,1,0,0,30591.5,15295.75,20394.33333333333,28042.20833333333,28042.20833333333,2940.0138888888887,3428.0277777777774,128734.04166666666
132533,16510,0,0,0,0,1,1,3,0,1,0,2,29005.75,14502.875,19337.166666666664,26588.604166666664,26588.604166666664,2940.0138888888887,3428.0277777777774,122391.04166666667
164624,9126,1,0,0,1,1,2,2,1,1,2,1,38874.5,19437.25,25916.33333333333,35634.95833333333,35634.95833333333,2940.0138888888887,3428.0277777777774,161866.04166666666
165034,11811,0,1,0,1,1,3,3,1,1,2,1,38305.75,19152.875,25537.166666666664,35113.604166666664,35113.604166666664,2940.0138888888887,3428.0277777777774,159591.04166666663
71622,17642,0,0,0,0,1,2,0,0,0,1,2,13495.0,6747.5,8996.666666666666,12370.416666666666,12370.416666666666,2940.0138888888887,3428.0277777777774,60348.04166666666
142557,20269,0,1,0,1,1,1,1,1,1,1,2,30572.0,15286.0,20381.33333333333,28024.33333333333,28024.33333333333,2940.0138888888887,3428.0277777777774,128656.04166666666
175707,24900,0,0,0,1,1,1,1,1,1,0,0,37701.75,18850.875,25134.5,34559.9375,34559.9375,2940.0138888888887,3428.0277777777774,157175.04166666666
152374,21002,0,1,0,1,1,1,1,0,0,0,0,32843.0,16421.5,21895.33333333333,30106.08333333333,30106.08333333333,2940.0138888888887,3428.0277777777774,137740.04166666666
69714,8849,0,0,0,1,1,0,1,1,1,1,1,15216.25,7608.125,10144.166666666666,13948.229166666666,13948.229166666666,2940.0138888888887,3428.0277777777774,67233.04166666666
141703,35475,0,0,0,0,1,0,2,0,0,0,1,26557.0,13278.5,17704.666666666664,24343.916666666664,24343.916666666664,2940.0138888888887,3428.0277777777774,112596.04166666667
61713,6600,1,0,0,0,1,2,1,0,0,0,2,13778.25,6889.125,9185.5,12630.0625,12630.0625,2940.0138888888887,3428.0277777777774,61481.04166666667
180578,15072,1,0,0,1,1,3,1,0,0,2,1,41376.5,20688.25,27584.33333333333,37928.45833333333,37928.45833333333,2940.0138888888887,3428.0277777777774,171874.04166666666
166815,24125,1,0,0,0,1,2,3,0,1,2,2,35672.5,17836.25,23781.666666666664,32699.791666666664,32699.791666666664,2940.0138888888887,3428.0277777777774,149058.04166666663
91214,9544,1,0,0,1,1,1,2,0,0,0,0,20417.5,10208.75,13611.666666666666,18716.041666666664,18716.041666666664,2940.0138888888887,3428.0277777777774,88038.04166666667
52273,6224,1,0,0,0,1,2,0,1,1,1,1,11512.25,5756.125,7674.833333333333,10552.895833333332,10552.895833333332,2940.0138888888887,3428.0277777777774,52417.04166666667
153704,35872,0,0,0,1,1,1,0,0,0,1,1,29458.0,14729.0,19638.666666666664,27003.166666666664,27003.166666666664,2940.0138888888887,3428.0277777777774,124200.04166666667
77459,5996,0,0,0,0,1,0,1,0,1,2,2,17865.75,8932.875,11910.5,16376.9375,16376.9375,2940.0138888888887,3428.0277777777774,77831.04166666667
117261,13251,0,0,0,1,1,2,1,1,0,2,1,26002.5,13001.25,17335.0,23835.625,23835.625,2940.0138888888887,3428.0277777777774,110378.04166666667
57101,14875,0,1,0,0,1,0,0,1,0,2,1,10556.5,5278.25,7037.666666666666,9676.791666666666,9676.791666666666,2940.0138888888887,3428.0277777777774,48594.04166666666
186149,19350,0,1,0,0,1,0,0,0,1,0,0,41699.75,20849.875,27799.83333333333,38224.77083333333,38224.77083333333,2940.0138888888887,3428.0277777777774,173167.04166666666
109630,8218,0,0,0,0,1,1,3,0,1,1,1,25353.0,12676.5,16902.0,23240.25,23240.25,2940.0138888888887,3428.0277777777774,107780.04166666667
185656,40024,0,1,0,1,1,0,2,1,0,0,0,36408.0,18204.0,24272.0,33374.0,33374.0,2940.0138888888887,3428.0277777777774,152000.04166666666
83084,20554,0,1,0,0,1,2,3,1,0,2,1,15632.5,7816.25,10421.666666666666,14329.791666666666,14329.791666666666,2940.0138888888887,3428.0277777777774,68898.04166666666
75673,20864,1,0,0,0,1,4,1,1,0,2,2,13702.25,6851.125,9134.833333333332,12560.395833333332,12560.395833333332,2940.0138888888887,3428.0277777777774,61177.04166666667
169102,9747,1,0,1,0,1,3,0,0,0,1,0,39838.75,19919.375,26559.166666666664,36518.85416666666,36518.85416666666,2940.0138888888887,3428.0277777777774,165723.04166666663
72762,5942,1,0,0,1,1,3,2,0,0,2,0,16705.0,8352.5,11136.666666666666,15312.916666666666,15312.916666666666,2940.0138888888887,3428.0277777777774,73188.04166666667
194142,41368,0,0,0,1,1,3,2,1,1,0,1,38193.5,19096.75,25462.33333333333,35010.70833333333,35010.70833333333,2940.0138888888887,3428.0277777777774,159142.04166666666
116014,26782,1,0,0,1,1,4,2,1,0,1,0,22308.0,11154.0,14872.0,20449.0,20449.0,2940.0138888888887,3428.0277777777774,95600.04166666667
95160,20488,0,0,0,1,1,2,3,1,0,1,2,18668.0,9334.0,12445.333333333332,17112.333333333332,17112.333333333332,2940.0138888888887,3428.0277777777774,81040.04166666666
195266,56349,1,0,0,1,1,0,2,0,1,1,0,34729.25,17364.625,23152.83333333333,31835.14583333333,31835.14583333333,2940.0138888888887,3428.0277777777774,145285.04166666666
101212,25557,0,0,0,0,1,1,3,1,0,2,0,18913.75,9456.875,12609.166666666666,17337.604166666664,17337.604166666664,2940.0138888888887,3428.0277777777774,82023.04166666667
124668,34244,0,1,0,1,1,0,1,1,1,1,1,22606.0,11303.0,15070.666666666666,20722.166666666664,20722.166666666664,2940.0138888888887,3428.0277777777774,96792.04166666667
68160,14226,0,0,0,1,1,4,1,0,0,1,2,13483.5,6741.75,8989.0,12359.875,12359.875,2940.0138888888887,3428.0277777777774,60302.04166666667
123706,13470,0,0,0,0,1,4,3,0,0,0,0,27559.0,13779.5,18372.666666666664,25262.416666666664,25262.416666666664,2940.0138888888887,3428.0277777777774,116604.04166666667
175611,32277,0,1,0,0,1,3,3,1,0,1,2,35833.5,17916.75,23889.0,32847.375,32847.375,2940.0138888888887,3428.0277777777774,149702.04166666666
183647,21830,1,0,0,1,1,4,0,0,0,0,1,40454.25,20227.125,26969.5,37083.0625,37083.0625,2940.0138888888887,3428.0277777777774,168185.04166666666
